id,x,y,lon,lat,source_type
0,588811.043416133,2326187.5033023953,105.8547093,21.034354300000004,highway:bus_stop
1,588485.7575112482,2326683.3403000645,105.8516045,21.038849699999997,highway:bus_stop
2,587878.5322326514,2326794.5818728767,105.8457666,21.039883899999996,highway:bus_stop
3,588915.1034314891,2325930.074891583,105.8556974,21.032023499999998,highway:bus_stop
4,587890.6384373147,2326274.9451064332,105.8458566,21.035188599999998,highway:bus_stop
5,588910.4971891532,2325505.936428159,105.8556312,21.0281918,highway:bus_stop
6,588458.2593320736,2325520.597813586,105.85128020000002,21.0283461,highway:bus_stop
7,588021.3539122082,2325820.6884269123,105.8470913,21.0310783,highway:bus_stop
8,588293.4883154847,2325320.353694379,105.8496844,21.0265449,highway:bus_stop
9,587980.1337314161,2325412.273558433,105.8466738,21.0273904,highway:bus_stop
10,588699.1675444705,2325373.0231715585,105.8535908,21.0270012,highway:bus_stop
11,588017.4623932481,2326508.942446747,105.847089,21.0372966,highway:bus_stop
12,588780.2781129107,2326072.1370713934,105.8544073,21.033313499999995,highway:bus_stop
13,588978.4486565336,2325341.6781422556,105.8562766,21.0267045,highway:bus_stop
14,587958.8649412448,2326622.593196321,105.8465309,21.038326199999997,highway:bus_stop
15,589329.4418822052,2325185.958886757,105.85964600000001,21.025280599999995,highway:bus_stop
16,588135.1513122728,2326507.8408251903,105.8482215,21.037280999999997,highway:bus_stop
17,588303.7851555715,2326158.2192725427,105.8498264,21.034114200000005,highway:bus_stop
18,588965.829640556,2325921.6359233186,105.8561851,21.031944800000005,highway:bus_stop
19,587964.5022671239,2325641.9179188567,105.84653510000001,21.029465900000005,highway:bus_stop
20,589230.0998687794,2325139.943687797,105.8586877,21.024869700000004,highway:bus_stop
21,588897.3007141392,2325141.0020756084,105.8554854,21.02489539999999,highway:bus_stop
22,587798.6367072922,2325771.360065449,105.8449456,21.030643299999994,highway:bus_stop
23,587881.9636308022,2326727.491515784,105.8457962,21.0392776,highway:bus_stop
24,588776.3154862078,2326026.1702943025,105.8543668,21.032898400000004,highway:bus_stop
25,588565.9247878559,2325239.577480108,105.8523018,21.025801999999995,highway:bus_stop
26,588749.1797515558,2326343.249860821,105.854122,21.035764399999998,highway:bus_stop
27,588208.8838891087,2326754.0597130326,105.84894365517209,21.03950195,public_transport:platform
