id,x,y,lon,lat,source_type
0,588983.4307233302,2325375.773861604,105.85632630000002,21.0270123,road_network_node
1,587871.4564572758,2326223.7843290623,105.8456694,21.034727299999997,road_network_node
2,588866.6210170205,2325207.271157975,105.8551936,21.025495599999996,road_network_node
3,588956.7482158283,2325435.002492635,105.8560726,21.0275487,road_network_node
4,588425.1322886987,2325798.861402146,105.8509757,21.03086169999999,road_network_node
5,589087.4279659527,2325456.556816872,105.8573312,21.02773709999999,road_network_node
6,587558.102428802,2325616.4909521607,105.8426231,21.02925559999999,road_network_node
7,588731.143588909,2325573.291314863,105.8539088,21.028808999999995,road_network_node
8,589173.7495790165,2325154.052027834,105.8581462,21.02499990000001,road_network_node
9,588283.3657804226,2326829.6392303407,105.8496643,21.0401812,road_network_node
10,589128.2127713226,2325339.3495513196,105.8577176,21.026676200000008,road_network_node
11,588502.1875674928,2325300.2693154993,105.8516916,21.0263534,road_network_node
12,588688.3821444644,2325792.6072995113,105.8535086,21.03079249999999,road_network_node
13,588120.6303243964,2326123.3422300667,105.8480621,21.0338079,road_network_node
14,588555.2624172083,2325286.2962160925,105.8522016,21.026224599999995,road_network_node
15,587678.5374090223,2325513.813469645,105.8437768,21.028322199999998,road_network_node
16,588731.916108966,2325650.354674242,105.8539202,21.0295052,road_network_node
17,588008.8501722816,2326112.953075466,105.8469859,21.033719399999995,road_network_node
18,587980.1337314161,2325412.273558433,105.8466738,21.0273904,highway:bus_stop
19,588534.428932643,2326138.628895791,105.85204490000001,21.033926099999988,road_network_node
20,587887.7560712321,2326277.6416221275,105.845829,21.035213099999996,road_network_node
21,588407.3337428645,2326404.669721879,105.8508355,21.036335799999993,road_network_node
22,587774.3016157988,2325837.62028945,105.8447148,21.031243099999998,road_network_node
23,588727.2339760249,2325736.918885781,105.8538796,21.030287499999993,road_network_node
24,588317.8970659291,2326474.3345593093,105.8499784,21.036969499999994,road_network_node
25,588884.2424167963,2325184.7192934966,105.855362,21.025290999999992,road_network_node
26,587671.4776988608,2325516.443674921,105.843709,21.0283463,road_network_node
27,588427.219641436,2325600.2697140547,105.8509856,21.0290674,road_network_node
28,587658.1470931799,2326111.8596261074,105.843611,21.0337263,road_network_node
29,589329.4418822052,2325185.958886757,105.85964600000001,21.025280599999995,highway:bus_stop
30,588258.2302609876,2326290.6000646884,105.8493948,21.0353124,road_network_node
31,588914.461206306,2325347.998389349,105.8556612,21.026764699999994,road_network_node
32,588811.043416133,2326187.5033023953,105.8547093,21.034354300000004,highway:bus_stop
33,588654.2999422634,2325229.9549126485,105.8531517,21.0257108,road_network_node
34,588643.0028284634,2325212.5833605924,105.8530421,21.025554400000004,road_network_node
35,587786.4422666728,2325921.495401994,105.8448359,21.0320003,road_network_node
36,588028.2487230471,2326724.26066591,105.84720380000002,21.039241399999995,road_network_node
37,588892.7634263791,2325413.7399968673,105.8554558,21.027359699999998,road_network_node
38,588878.0609776543,2325797.3636381193,105.85533410000001,21.030826300000005,road_network_node
39,588708.4202087498,2325572.5388908912,105.85369010000001,21.028803300000007,road_network_node
40,588189.5432234326,2326612.77200691,105.8487503,21.038226399999992,road_network_node
41,588452.519908979,2325606.9239559546,105.8512294,21.029126300000005,road_network_node
42,588464.852597256,2325511.9220284703,105.8513432,21.0282674,road_network_node
43,588671.9615241846,2325736.490529635,105.8533477,21.0302863,road_network_node
44,588447.5820760085,2325453.2331081117,105.851174,21.027738,road_network_node
45,588238.6066211743,2325678.0291505465,105.8491746,21.029779,road_network_node
46,588565.9247878559,2325239.577480108,105.8523018,21.025801999999995,highway:bus_stop
47,588331.0401734816,2326743.9347790633,105.8501187,21.039404599999997,road_network_node
48,589005.5169789945,2325202.8133897055,105.8565299,21.0254486,road_network_node
