id,x,y,lon,lat,source_type
0,588209.7849651573,2326134.2427052027,105.8489206,21.0339021,amenity:cafe
1,588247.7948295439,2325609.331356902,105.8492595,21.029157899999998,amenity:restaurant
2,587765.8175405032,2325791.2979040323,105.8446308,21.030825,amenity:cafe
3,588349.6237461499,2326066.3509692256,105.8502628,21.033282,amenity:cafe
4,588538.5429007595,2326372.4296963243,105.8520965,21.036038199999997,amenity:restaurant
5,588075.2635937908,2325652.9874770157,105.8476015,21.029560599999996,amenity:cafe
6,588715.1095042056,2325392.3898076825,105.85374520000002,21.0271754,amenity:cafe
7,588271.912921042,2325804.963215091,105.8495016,21.0309242,amenity:cafe
8,588541.110031938,2326261.403702264,105.8521155,21.035035,amenity:cafe
9,588766.0075078848,2326161.9705611146,105.8542746,21.0341258,amenity:cafe
10,588244.234840933,2325989.428091246,105.8492447,21.032592099999995,amenity:restaurant
11,588627.5983410482,2326349.1079892507,105.85295230000001,21.0358232,amenity:restaurant
12,588650.6280948085,2326125.148228436,105.8531624,21.0337987,amenity:restaurant
13,588730.0008185143,2326058.9288971783,105.8539228,21.033196599999997,amenity:restaurant
14,587964.5022671239,2325641.9179188567,105.84653510000001,21.029465900000005,highway:bus_stop
15,588530.0529975201,2326076.5220534843,105.8519996,21.0333652,amenity:restaurant
16,588183.1722706258,2325842.921194678,105.8486496,21.031271399999998,amenity:restaurant
17,588627.6133243962,2326233.5191736454,105.8529465,21.034778899999996,amenity:restaurant
18,588074.6491576763,2325974.2262105104,105.847612,21.03246289999999,amenity:restaurant
19,588288.244741221,2325571.437605659,105.8496468,21.028813599999992,amenity:cafe
20,587773.0970032413,2325778.541206469,105.8447002,21.0307094,amenity:cafe
21,589099.4283371501,2325182.2207290535,105.8574325,21.025258,amenity:cafe
22,588532.4644649789,2326037.4740215642,105.8520208,21.033012299999996,amenity:cafe
23,588646.8125372735,2325938.8219993943,105.8531161,21.032115499999996,amenity:restaurant
24,588549.161121725,2326131.446573448,105.8521863,21.0338605,amenity:cafe
25,588479.3245710104,2325964.735774448,105.8515057,21.0323577,amenity:cafe
26,587973.3460091406,2326652.8207156914,105.8466718,21.038598600000004,amenity:cafe
