scenario,k,coverage_count,greedy_eval_count,lazy_eval_count,eval_reduction_rate,greedy_runtime_seconds,lazy_runtime_seconds
bus_stop_only,5,222,131,38,0.7099236641221374,0.0006752999997843,0.0001389999997627
bus_stop_only,10,308,236,50,0.788135593220339,0.0018880999996326,0.0003082000002905
bus_stop_only,15,357,316,57,0.819620253164557,0.0075592000011965,0.0010477999985596
bus_stop_only,20,390,371,65,0.8247978436657681,0.0069774000003235,0.0007275000007211
road_nodes,5,328,1991,434,0.7820190858864892,0.0129778999998961,0.001159400000688
road_nodes,10,503,3956,521,0.8683013144590496,0.0469293000005563,0.0026621999986673
road_nodes,15,592,5896,613,0.8960312075983717,0.1011426999994,0.0045960000006743
road_nodes,20,659,7811,663,0.9151197029829727,0.169363399998474,0.0062167999985831
