scenario,n_demand,n_candidate,radius_m,k,algorithm,coverage_count,coverage_rate,avg_nearest_distance_m,max_nearest_distance_m,eval_count,runtime_seconds
bus_stop_only,769,28,100,5,Greedy,129,0.16775032509752927,263.0217430804885,1042.5414238442625,131,0.00035510000088834204
bus_stop_only,769,28,100,5,Lazy Greedy,129,0.16775032509752927,263.0217430804885,1042.5414238442625,36,7.900000127847306e-05
bus_stop_only,769,28,100,10,Greedy,173,0.22496749024707413,217.76884280849177,851.6953565566074,236,0.0010683999989851145
bus_stop_only,769,28,100,10,Lazy Greedy,173,0.22496749024707413,217.76884280849177,851.6953565566074,44,0.00013050000052317046
bus_stop_only,769,28,100,15,Greedy,206,0.26788036410923277,168.15060936557697,657.4486956829234,316,0.001750900000843103
bus_stop_only,769,28,100,15,Lazy Greedy,206,0.26788036410923277,168.15060936557697,657.4486956829234,49,0.00018110000019078143
bus_stop_only,769,28,100,20,Greedy,224,0.29128738621586475,152.35027895280336,384.3731630243111,371,0.0023148999989643926
bus_stop_only,769,28,100,20,Lazy Greedy,224,0.29128738621586475,152.13508337714876,384.3731630243111,56,0.00025829999867710285
road_nodes,769,400,100,5,Greedy,187,0.24317295188556567,229.29161636321874,1042.5414238442625,1991,0.006174199999804841
road_nodes,769,400,100,5,Lazy Greedy,187,0.24317295188556567,229.29161636321874,1042.5414238442625,428,0.0011273000000073807
road_nodes,769,400,100,10,Greedy,307,0.3992197659297789,176.64274422916216,1042.5414238442625,3956,0.02673560000039288
road_nodes,769,400,100,10,Lazy Greedy,307,0.3992197659297789,176.64274422916216,1042.5414238442625,445,0.0010050000000774162
road_nodes,769,400,100,15,Greedy,411,0.5344603381014305,148.42178178052004,1021.2663350004261,5896,0.06987339999977848
road_nodes,769,400,100,15,Lazy Greedy,411,0.5344603381014305,148.42178178052004,1021.2663350004261,466,0.001319599999987986
road_nodes,769,400,100,20,Greedy,487,0.6332899869960988,135.6487068924704,1021.2663350004261,7811,0.10289630000079342
road_nodes,769,400,100,20,Lazy Greedy,487,0.6332899869960988,135.6487068924704,1021.2663350004261,523,0.0027257000001554843
