n,Algorithm,Objective Value,Evaluations,Runtime Seconds
200,Greedy,191.75032124917044,1956,0.035054500000114786
200,Lazy Greedy,191.75032124917044,638,0.011534099998243619
200,Stochastic Greedy,191.48458574287434,471,0.008990199999971082
500,Greedy,476.6350317731388,4956,0.10723070000312873
500,Lazy Greedy,476.6350317731388,1664,0.03591170000072452
500,Stochastic Greedy,476.4520694037594,1161,0.026410400001623202
1000,Greedy,952.1677964048943,9956,0.3394566999995732
1000,Lazy Greedy,952.1677964048943,3130,0.12247989999741549
1000,Stochastic Greedy,950.7903692993278,2311,0.08286960000259569
