Algorithm,objective_value,coverage_count,coverage_rate,average_nearest_distance_m,max_nearest_distance_m,eval_count,runtime_seconds
Greedy,198.0,198,0.99,163.82150788810355,317.7154200329162,236,0.0012480999994295416
Lazy Greedy,198.0,198,0.99,163.82150788810355,317.7154200329162,75,0.00038189999941096175
Stochastic Greedy,186.0,186,0.93,182.88308459442516,399.12770878536156,71,0.0004816999989998294
Random Baseline,188.0,188,0.94,187.0425922090462,361.9922842201668,1000,0.01456049999978859
