Algorithm,weight_scheme,objective_value,coverage_count,coverage_rate,total_weight,weighted_coverage_value,weighted_coverage_rate,priority_points_total,priority_points_covered,priority_coverage_rate,average_nearest_distance_m,max_nearest_distance_m,eval_count,runtime_seconds
Greedy,priority_mild,338.0,328,0.4265279583875163,827.0,338.0,0.40870616686819833,37,6,0.16216216216216217,256.7395961385901,1050.860964837202,1991,0.05387250000057975
Lazy Greedy,priority_mild,338.0,328,0.4265279583875163,827.0,338.0,0.40870616686819833,37,6,0.16216216216216217,256.7395961385901,1050.860964837202,433,0.009735100000398234
Stochastic Greedy,priority_mild,334.0,321,0.4174252275682705,827.0,334.0,0.40386940749697703,37,7,0.1891891891891892,246.23965028459696,1042.5414238442625,926,0.04497370000171941
Random Baseline,priority_mild,229.0,217,0.28218465539661897,827.0,229.0,0.27690447400241835,37,7,0.1891891891891892,303.36571854987477,1005.9344011010844,1000,0.046477199999571894
