Algorithm,objective_value,average_nearest_distance_m,max_nearest_distance_m,eval_count,runtime_seconds
Greedy,168.8153685853884,162.7414123383529,374.81573143494495,236,0.0055317999995168066
Lazy Greedy,168.8153685853884,162.7414123383529,374.81573143494495,94,0.0018393999998806976
Stochastic Greedy,162.69333345926856,180.6301612961336,399.12770878536156,71,0.001634300000660005
Random Baseline,164.44992183956424,175.36193226647444,384.8610332699703,1000,0.03026730000055977
