radius_m,k,algorithm,coverage_count,coverage_rate,avg_nearest_distance_m,max_nearest_distance_m,eval_count,runtime_seconds
150,30,Stochastic Greedy,727,0.9453836150845254,92.08315326991335,249.80412990745134,931,0.02161589999923308
150,30,Random Baseline,592,0.7698309492847855,110.7681473525281,276.94737668152527,1000,0.04608670000015991
200,5,Greedy,452,0.58777633289987,243.94668065265432,975.1992473539552,1991,0.018014100000073086
200,5,Lazy Greedy,452,0.58777633289987,243.94668065265432,975.1992473539552,456,0.0018208000001322944
200,5,Stochastic Greedy,441,0.5734720416124838,247.72377783265904,975.1992473539552,926,0.007966700000906712
200,5,Random Baseline,337,0.43823146944083224,303.36571854987477,1005.9344011010844,1000,0.012681999998676474
200,10,Greedy,666,0.8660598179453837,143.24545174636253,482.72055654999593,3956,0.05959580000126152
200,10,Lazy Greedy,666,0.8660598179453837,143.24545174636253,482.72055654999593,673,0.006354299999657087
200,10,Stochastic Greedy,623,0.8101430429128739,169.0246576005047,1005.9344011010844,931,0.01280150000093272
200,10,Random Baseline,513,0.6671001300390117,177.43160391901264,601.7841587862406,1000,0.022882700000991463
200,15,Greedy,732,0.951885565669701,126.36814064717873,333.6518385570933,5896,0.12600139999995008
200,15,Lazy Greedy,732,0.951885565669701,126.36814064717873,333.6518385570933,873,0.012139800001023104
200,15,Stochastic Greedy,714,0.9284785435630689,125.54634484881248,348.31007490512377,931,0.020787399998880574
200,15,Random Baseline,580,0.7542262678803641,160.0906543038198,584.6783681143055,1000,0.03410339999936696
200,20,Greedy,760,0.988296488946684,114.88258423137677,278.05583322828085,7811,0.2104748000001564
200,20,Lazy Greedy,760,0.988296488946684,114.88258423137677,278.05583322828085,1062,0.0196512000002258
200,20,Stochastic Greedy,748,0.9726918075422627,110.35683335231893,326.55664658221264,941,0.0234015999994881
200,20,Random Baseline,631,0.8205461638491548,138.13431645726158,469.0323596482477,1000,0.043493400000443216
200,30,Greedy,769,1.0,102.29173082642157,197.4654133717168,11566,0.35998250000011467
200,30,Lazy Greedy,769,1.0,101.66268181720565,197.4654133717168,1251,0.02704480000102194
200,30,Stochastic Greedy,768,0.9986996098829649,95.29119393239704,230.17574796285712,931,0.029514199999539414
200,30,Random Baseline,739,0.9609882964889467,110.7681473525281,276.94737668152527,1000,0.056701899999097805
